Longitud;Latitud
 2,18475401; 4,13851700e+01
 2,19115117; 4,13856974e+01
 2,19053669; 4,13805449e+01
 2,18005541; 4,13889159e+01
 2,18233318; 4,13840612e+01
 2,17977637; 4,13859942e+01
 2,18395418; 4,13893923e+01
 2,18338555; 4,13897469e+01
 2,15669395; 4,13778607e+01
 2,15934616; 4,13770347e+01
 2,18328316; 4,13922132e+01
 2,15203164; 4,13776901e+01
 2,15411176; 4,13794055e+01
 2,15514763; 4,13790105e+01
 2,15444318; 4,13796893e+01
 2,18248679; 4,13901964e+01
 2,15512270; 4,13802249e+01
 2,15580962; 4,13790519e+01
 2,15711693; 4,13770366e+01
 2,17835610; 4,13917023e+01
 2,18298701; 4,13883999e+01
 2,18301922; 4,13884260e+01
 2,18474767; 4,13887894e+01
 2,18609547; 4,13877776e+01
 2,16424610; 4,13870940e+01
 2,16424610; 4,13870940e+01
 2,16424610; 4,13870940e+01
 2,16424610; 4,13870940e+01
 2,14478738; 4,13912912e+01
 2,16428999; 4,13854223e+01
 2,15777276; 4,13801591e+01
 2,16400463; 4,13837872e+01
 2,16838725; 4,13771657e+01
 2,15743280; 4,13807024e+01
 2,14519458; 4,13882290e+01
 2,16240333; 4,13823049e+01
 2,16242158; 4,13770241e+01
 2,15669625; 4,13813766e+01
 2,15747147; 4,13819595e+01
 2,15989182; 4,13836147e+01
 2,16313247; 4,13813101e+01
 2,16250473; 4,13820458e+01
 2,16240317; 4,13821216e+01
 2,15863779; 4,13828105e+01
 2,16119741; 4,13809864e+01
 2,14467817; 4,13886175e+01
 2,15971784; 4,13807045e+01
 2,14937323; 4,13881135e+01
 2,16012755; 4,13822951e+01
 2,14610315; 4,13911146e+01
 2,14755122; 4,13905073e+01
 2,16089003; 4,13845136e+01
 2,16132047; 4,13848865e+01
 2,16219170; 4,13841271e+01
 2,14885153; 4,13914865e+01
 2,16551743; 4,13781840e+01
 2,14570187; 4,13856859e+01
 2,15791044; 4,13846800e+01
 2,15738903; 4,13855011e+01
 2,15738903; 4,13855011e+01
 2,14794081; 4,13856784e+01
 2,15294717; 4,13843466e+01
 2,15748975; 4,13826652e+01
 2,15432662; 4,13878095e+01
 2,15809091; 4,13831143e+01
 2,15918143; 4,13839379e+01
 2,15920310; 4,13840565e+01
 2,15516801; 4,13860198e+01
 2,15517009; 4,13809160e+01
 2,14695161; 4,13837264e+01
 2,15042644; 4,13855542e+01
 2,15306158; 4,13805897e+01
 2,14966831; 4,13849460e+01
 2,14697048; 4,13802059e+01
 2,14680766; 4,13811427e+01
 2,15465196; 4,13805319e+01
 2,15522052; 4,13843564e+01
 2,15193786; 4,13832520e+01
 2,15193786; 4,13832520e+01
 2,15193786; 4,13832520e+01
 2,14893609; 4,13864335e+01
 2,15470210; 4,13824777e+01
 2,14908042; 4,13831337e+01
 2,14950956; 4,13817555e+01
 2,15063016; 4,13826007e+01
 2,15063016; 4,13826007e+01
 2,15079479; 4,13827251e+01
 2,15419934; 4,13832147e+01
 2,14680450; 4,13865176e+01
 2,15803736; 4,13770384e+01
 2,14404474; 4,13874129e+01
 2,14981549; 4,13834077e+01
 2,15687172; 4,13845315e+01
 2,15012555; 4,13842291e+01
 2,15497151; 4,13940823e+01
 2,16151436; 4,13895576e+01
 2,16602383; 4,13892800e+01
 2,15872646; 4,13862680e+01
 2,15813222; 4,13952558e+01
 2,15701646; 4,13925298e+01
 2,15835360; 4,13881083e+01
 2,16316123; 4,13886280e+01
 2,16036046; 4,13935666e+01
 2,16420507; 4,13891394e+01
 2,16505939; 4,13897787e+01
 2,16453497; 4,13896608e+01
 2,15923445; 4,13873794e+01
 2,15868281; 4,13920663e+01
 2,16511478; 4,13883943e+01
 2,16308819; 4,13880933e+01
 2,16308819; 4,13880933e+01
 2,15705381; 4,13875275e+01
 2,15792955; 4,13937013e+01
 2,15687927; 4,13947689e+01
 2,15673896; 4,13894745e+01
 2,15927733; 4,13942445e+01
 2,15632622; 4,13868908e+01
 2,15813425; 4,13950519e+01
 2,15856389; 4,13915112e+01
 2,16279107; 4,13880755e+01
 2,15891292; 4,13884952e+01
 2,15960506; 4,13889343e+01
 2,15603578; 4,13897980e+01
 2,15700289; 4,13891267e+01
 2,15273336; 4,13961265e+01
 2,15596476; 4,13969161e+01
 2,15924340; 4,13907878e+01
 2,15968682; 4,13911209e+01
 2,15556326; 4,13968550e+01
 2,15965856; 4,13894610e+01
 2,15965856; 4,13894610e+01
 2,15973343; 4,13895168e+01
 2,15830508; 4,13886617e+01
 2,15830508; 4,13886617e+01
 2,16226204; 4,13914213e+01
 2,16038509; 4,13884271e+01
 2,16150462; 4,13858757e+01
 2,15989447; 4,13907860e+01
 2,16199220; 4,13913744e+01
 2,16151182; 4,13856878e+01
 2,15650441; 4,13866059e+01
 2,15257193; 4,13960385e+01
 2,15195174; 4,13785016e+01
 2,15318991; 4,13941392e+01
 2,16117514; 4,13901916e+01
 2,15862968; 4,13852210e+01
 2,15311293; 4,13793787e+01
 2,15307310; 4,13946600e+01
 2,14945870; 4,13952747e+01
 2,17289634; 4,14011485e+01
 2,17413010; 4,14005049e+01
 2,17303302; 4,13997942e+01
 2,17197926; 4,14005912e+01
 2,15565051; 4,13885882e+01
 2,15044874; 4,13955548e+01
 2,17122777; 4,14015215e+01
 2,17170967; 4,14019153e+01
 2,17304598; 4,14025838e+01
 2,17372942; 4,14014049e+01
 2,17056423; 4,13994952e+01
 2,17103225; 4,14009036e+01
 2,17391000; 4,14019957e+01
 2,17014615; 4,14021072e+01
 2,17014615; 4,14021072e+01
 2,17068975; 4,14025411e+01
 2,15622454; 4,13902599e+01
 2,15695526; 4,13907672e+01
 2,15135729; 4,13952116e+01
 2,15239238; 4,13941515e+01
 2,17033179; 4,14011034e+01
 2,17033179; 4,14011034e+01
 2,17033179; 4,14011034e+01
 2,17020534; 4,14010094e+01
 2,17020534; 4,14010094e+01
 2,16911680; 4,14016407e+01
 2,16986751; 4,13987907e+01
 2,14900925; 4,13951953e+01
 2,16610214; 4,13994468e+01
 2,15134355; 4,13933619e+01
 2,16628292; 4,13979287e+01
 2,16628292; 4,13979287e+01
 2,16563819; 4,13983738e+01
 2,15469599; 4,13927283e+01
 2,14897424; 4,13932851e+01
 2,16614475; 4,14025425e+01
 2,15012132; 4,13924434e+01
 2,14860438; 4,13925248e+01
 2,16712430; 4,14018400e+01
 2,15085017; 4,13909877e+01
 2,16507607; 4,14004952e+01
 2,14584231; 4,13940633e+01
 2,14584231; 4,13940633e+01
 2,16427314; 4,13996999e+01
 2,16870096; 4,13962614e+01
 2,17052051; 4,13976267e+01
 2,15226966; 4,13897680e+01
 2,14669793; 4,13921891e+01
 2,15358477; 4,13901461e+01
 2,15244786; 4,13910039e+01
 2,14877019; 4,13918533e+01
 2,14721645; 4,13920888e+01
 2,17102784; 4,13991423e+01
 2,16935741; 4,13969875e+01
 2,15045885; 4,13911497e+01
 2,16847392; 4,14008789e+01
 2,16502721; 4,13999945e+01
 2,15065769; 4,13821214e+01
 2,14977261; 4,13916472e+01
 2,15185663; 4,13931651e+01
 2,15195620; 4,13934099e+01
 2,15319056; 4,13930472e+01
 2,17448203; 4,14016027e+01
 2,17391986; 4,14014629e+01
 2,17391986; 4,14014629e+01
 2,17655546; 4,13919755e+01
 2,17510249; 4,13993376e+01
 2,17102164; 4,13945467e+01
 2,16673697; 4,13943822e+01
 2,16892663; 4,13943971e+01
 2,16892663; 4,13943971e+01
 2,17492150; 4,14005384e+01
 2,16939280; 4,13950254e+01
 2,17003246; 4,13935261e+01
 2,17443036; 4,13999857e+01
 2,17213668; 4,13965956e+01
 2,17072148; 4,13940413e+01
 2,16941103; 4,13933400e+01
 2,16867801; 4,13922704e+01
 2,17656847; 4,14000149e+01
 2,17218495; 4,13934042e+01
 2,17694898; 4,13935030e+01
 2,16756635; 4,13931680e+01
 2,16987364; 4,13919724e+01
 2,17100667; 4,13928252e+01
 2,17164454; 4,13935537e+01
 2,17694856; 4,13946649e+01
 2,17043928; 4,13896871e+01
 2,16333688; 4,13918226e+01
 2,16333688; 4,13918226e+01
 2,16333688; 4,13918226e+01
 2,16435976; 4,13925922e+01
 2,16435976; 4,13925922e+01
 2,16512691; 4,13931673e+01
 2,17628390; 4,13974264e+01
 2,16469132; 4,13926217e+01
 2,17594519; 4,13957928e+01
 2,17716184; 4,13974817e+01
 2,17239786; 4,13986382e+01
 2,17742131; 4,13958212e+01
 2,17656210; 4,13963306e+01
 2,16642236; 4,13887193e+01
 2,16642236; 4,13887193e+01
 2,16755663; 4,13895702e+01
 2,17097433; 4,13921414e+01
 2,17343375; 4,13977472e+01
 2,16807812; 4,13903492e+01
 2,16938709; 4,13911801e+01
 2,16938709; 4,13911801e+01
 2,16938709; 4,13911801e+01
 2,16938709; 4,13911801e+01
 2,17417078; 4,13914229e+01
 2,17308467; 4,13990412e+01
 2,16936268; 4,13963577e+01
 2,17190454; 4,13916444e+01
 2,16939733; 4,13935421e+01
 2,16922062; 4,13936765e+01
 2,17980287; 4,13931921e+01
 2,17068787; 4,13962625e+01
 2,17484507; 4,13916476e+01
 2,17199876; 4,13899502e+01
 2,16780749; 4,13969569e+01
 2,17139883; 4,13971532e+01
 2,17486418; 4,13914034e+01
 2,17509045; 4,13910755e+01
 2,16688807; 4,13883567e+01
 2,16812859; 4,13885010e+01
 2,16133608; 4,13982455e+01
 2,16378433; 4,13977503e+01
 2,16366336; 4,13978837e+01
 2,16652826; 4,13974238e+01
 2,16652826; 4,13974238e+01
 2,16298101; 4,13983972e+01
 2,16289604; 4,13986794e+01
 2,16289604; 4,13986794e+01
 2,16597095; 4,13944565e+01
 2,16538332; 4,13949291e+01
 2,16538332; 4,13949291e+01
 2,16538332; 4,13949291e+01
 2,16490857; 4,13953107e+01
 2,16059636; 4,13983346e+01
 2,16583717; 4,13971826e+01
 2,16481044; 4,13966874e+01
 2,16069220; 4,13955349e+01
 2,18138181; 4,14088436e+01
 2,16663403; 4,13956335e+01
 2,16604611; 4,13960533e+01
 2,18111383; 4,14089752e+01
 2,16604543; 4,13959384e+01
 2,16711498; 4,13967143e+01
 2,16711498; 4,13967143e+01
 2,16613985; 4,13957009e+01
 2,17938618; 4,14035445e+01
 2,18190021; 4,14097039e+01
 2,18108278; 4,14102091e+01
 2,16450364; 4,13975260e+01
 2,16033456; 4,13980608e+01
 2,18146372; 4,14052536e+01
 2,17987472; 4,14037002e+01
 2,16409696; 4,13927982e+01
 2,15767935; 4,13973948e+01
 2,18108559; 4,14068417e+01
 2,18011883; 4,14049050e+01
 2,15986939; 4,13942391e+01
 2,16414673; 4,13930124e+01
 2,16068698; 4,13952798e+01
 2,17811763; 4,14061693e+01
 2,16547291; 4,13940220e+01
 2,15956575; 4,13961369e+01
 2,18408175; 4,14046528e+01
 2,18304824; 4,14054231e+01
 2,16376874; 4,13954020e+01
 2,16331622; 4,13957656e+01
 2,16331622; 4,13957656e+01
 2,16284122; 4,13961462e+01
 2,16102135; 4,13935563e+01
 2,16069449; 4,13936738e+01
 2,16206817; 4,13943440e+01
 2,16277532; 4,13951575e+01
 2,17838997; 4,14090058e+01
 2,18158780; 4,14038891e+01
 2,16239529; 4,13962942e+01
 2,16381142; 4,13942276e+01
 2,18438907; 4,14076682e+01
 2,18095040; 4,14085173e+01
 2,16874517; 4,13913744e+01
 2,16657631; 4,13931283e+01
 2,16412522; 4,13990235e+01
 2,18481853; 4,14063132e+01
 2,16598502; 4,13935986e+01
 2,16811005; 4,13906684e+01
 2,16811005; 4,13906684e+01
 2,16864547; 4,13910505e+01
 2,16864547; 4,13910505e+01
 2,16864547; 4,13910505e+01
 2,16711791; 4,13950701e+01
 2,16372564; 4,13994077e+01
 2,16248820; 4,13990737e+01
 2,16248820; 4,13990737e+01
 2,16141184; 4,13988008e+01
 2,17457253; 4,14069396e+01
 2,17524798; 4,14062241e+01
 2,17847883; 4,14103568e+01
 2,17428871; 4,14069509e+01
 2,17508113; 4,14048863e+01
 2,17212265; 4,14073153e+01
 2,18589940; 4,13967246e+01
 2,17509414; 4,14027128e+01
 2,17515077; 4,14095961e+01
 2,17793033; 4,14043715e+01
 2,17743200; 4,14047540e+01
 2,17698600; 4,14050946e+01
 2,17397511; 4,14054039e+01
 2,17732583; 4,14043790e+01
 2,17670087; 4,14073625e+01
 2,17737976; 4,14129362e+01
 2,17360545; 4,14079608e+01
 2,17554257; 4,14042622e+01
 2,17457486; 4,14037211e+01
 2,17622327; 4,14006082e+01
 2,18699979; 4,13990493e+01
 2,18048865; 4,13958763e+01
 2,18675452; 4,14028807e+01
 2,18510152; 4,14027484e+01
 2,17652080; 4,14022176e+01
 2,18571266; 4,14032039e+01
 2,17985749; 4,14013034e+01
 2,17917260; 4,14020832e+01
 2,18530179; 4,14020393e+01
 2,18202403; 4,14029132e+01
 2,18195982; 4,14029871e+01
 2,17947190; 4,14028165e+01
 2,17947190; 4,14028165e+01
 2,15996093; 4,13766556e+01
 2,18475085; 4,14031425e+01
